,eng_version,Source,Genres
4885,Maid Sama!,Manga,"Comedy, Romance, School, Shoujo"
3874,Black Lagoon:Roberta's Blood Trail,Manga,"Action, Seinen"
1344,D.Gray-man,Manga,"Action, Adventure, Comedy, Super Power, Demons, Shounen"
7521,The Garden of Words,Original,"Slice of Life, Psychological, Drama, Romance"
804,Black Lagoon,Manga,"Action, Seinen"
7167,Kamisama Kiss,Manga,"Comedy, Demons, Supernatural, Romance, Fantasy, Shoujo"
14573,The King's Avatar 2,Novel,"Action, Game"
15618,Ascendance of a Bookworm,Light novel,"Slice of Life, Fantasy"
4429,Kimi ni Todoke:From Me to You,Manga,"Slice of Life, Drama, Romance, School, Shoujo"
5856,Kimi ni Todoke:From Me To You 2,Manga,"Slice of Life, Drama, Romance, School, Shoujo"
8292,Noragami:Stray God,Manga,"Action, Adventure, Comedy, Supernatural, Shounen"
13268,The Rising of the Shield Hero,Light novel,"Action, Adventure, Drama, Fantasy"
7624,Log Horizon,Light novel,"Action, Game, Adventure, Magic, Fantasy"
11434,The Saga of Tanya the Evil,Light novel,"Action, Military, Magic"
12164,The King's Avatar,Novel,"Action, Game"
389,Porco Rosso,Manga,"Action, Military, Adventure, Comedy, Historical, Drama, Romance"
12421,Code Geass:Lelouch of the Re;surrection,Original,"Action, Military, Sci-Fi, Super Power, Drama, Mecha"
6491,Sekai Ichi Hatsukoi - World's Greatest First Love 2,Manga,"Comedy, Drama, Romance, Shounen Ai"
9756,My Love Story!!,Manga,"Comedy, Romance, Shoujo"
10169,Overlord,Light novel,"Action, Adventure, Fantasy, Game, Magic, Supernatural"
14420,Overlord III,Light novel,"Action, Magic, Fantasy, Game, Supernatural"
14,School Rumble,Manga,"Comedy, Romance, School, Shounen"
5124,The Secret World of Arrietty,Novel,Fantasy
6059,The World God Only Knows II,Manga,"Comedy, Harem, Romance, Shounen, Supernatural"
5802,Beelzebub,Manga,"Action, Comedy, Demons, Supernatural, School, Shounen"
10,Naruto,Manga,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen"
2646,Ponyo,Original,"Adventure, Fantasy"
509,Vampire Hunter D:Bloodlust,Light novel,"Action, Sci-Fi, Horror, Drama, Romance, Vampire, Fantasy"
9011,The Seven Deadly Sins,Manga,"Action, Adventure, Ecchi, Fantasy, Magic, Shounen, Supernatural"
3155,Soul Eater,Manga,"Action, Fantasy, Comedy, Supernatural, Shounen"
13097,Classroom of the Elite,Light novel,"Slice of Life, Psychological, Drama, School"
6033,From Up on Poppy Hill,Manga,"Historical, Romance, School, Shoujo"
3835,Junjo Romantica 2,Manga,"Comedy, Drama, Romance, Shounen Ai"
225,InuYasha,Manga,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen"
12915,School Babysitters,Manga,"Comedy, School, Shoujo, Slice of Life"
7323,The Devil is a Part-Timer!,Light novel,"Comedy, Demons, Supernatural, Romance, Fantasy"
15688,Somali and the Forest Spirit,Web manga,"Adventure, Slice of Life, Demons, Drama, Fantasy"
4737,Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,Original,"Action, Military, Super Power, Mecha"
1427,Ghost Hunt,Light novel,"Mystery, Comedy, Horror, Supernatural, Shoujo"
8646,Tokyo Ghoul,Manga,"Action, Mystery, Horror, Psychological, Supernatural, Drama, Seinen"
423,InuYasha the Movie 3:Swords of an Honorable Ruler,Manga,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Drama, Magic, Romance, Fantasy, Shounen"
245,Bleach,Manga,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen"
560,The Cat Returns,Other,"Adventure, Drama, Fantasy"
5979,Sekai Ichi Hatsukoi - World's Greatest First Love,Manga,"Comedy, Drama, Romance, Shounen Ai"
10363,Snow White with the Red Hair,Manga,"Fantasy, Romance, Drama, Shoujo"
12803,Overlord II,Light novel,"Action, Game, Adventure, Supernatural, Magic, Fantasy"
1654,Claymore,Manga,"Action, Adventure, Super Power, Demons, Supernatural, Fantasy, Shounen"
16453,Fire Force Season 2,Manga,"Action, Supernatural, Shounen"
7829,Beyond the Boundary,Light novel,"Slice of Life, Supernatural, Fantasy"
7170,"Love, Chunibyo & Other Delusions!",Light novel,"Slice of Life, Comedy, Drama, Romance, School"
9921,Charlotte,Original,"Drama, School, Super Power"
9370,Junjo Romantica 3,Manga,"Comedy, Drama, Romance, Shounen Ai"
15883,Food Wars! The Fourth Plate,Manga,"Ecchi, School, Shounen"
11463,Poco's Udon World,Manga,"Slice of Life, Fantasy, Seinen"
3873,Black Butler,Manga,"Action, Mystery, Comedy, Historical, Demons, Supernatural, Shounen"
8339,Seitokai Yakuindomo*,4-koma manga,"Slice of Life, Comedy, School, Shounen"
9897,GATE,Light novel,"Action, Adventure, Fantasy, Military"
7001,Good Luck Girl!,Manga,"Comedy, Parody, Shounen, Supernatural"
9257,Beyond the Boundary:I'll Be Here - Past,Light novel,"Action, Supernatural, Fantasy"
5415,The World God Only Knows,Manga,"Comedy, Harem, Romance, Shounen, Supernatural"
4171,PandoraHearts,Manga,"Adventure, Fantasy, Mystery, Shounen, Supernatural"
4510,A Certain Scientific Railgun,Manga,"Action, Sci-Fi, Super Power"
7223,The World God Only Knows:Tenri Arc,Manga,"Comedy, Harem, Romance, Supernatural, Shounen"
10435,Prison School,Manga,"Comedy, Ecchi, Romance, School, Seinen"
4839,Wagnaria!!,4-koma manga,"Comedy, Romance, Seinen, Slice of Life"
159,The Vision of Escaflowne,Original,"Adventure, Psychological, Romance, Fantasy, Mecha"
15428,Welcome to Demon School! Iruma-kun,Manga,"Comedy, Demons, Supernatural, Fantasy, School, Shounen"
99,Fruits Basket,Manga,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo"
15046,Fire Force,Manga,"Action, Supernatural, Shounen"
4707,Fairy Tail,Manga,"Action, Adventure, Comedy, Magic, Fantasy, Shounen"
11807,Ajin 2nd Season,Manga,"Action, Horror, Mystery, Seinen, Supernatural"
497,Sailor Moon,Manga,"Demons, Magic, Romance, Shoujo"
16841,Shingeki no Kyojin: Chronicle,Manga,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen"
8921,Beyond the Boundary:Daybreak,Light novel,"Fantasy, Slice of Life, Supernatural"
8577,Blue Spring Ride,Manga,"Comedy, Drama, Romance, School, Shoujo, Slice of Life"
12685,Tsuredure Children,4-koma manga,"Comedy, Romance, School, Shounen"
14595,Gakuen Babysitters Special,Manga,Comedy
8598,The World is Still Beautiful,Manga,"Adventure, Romance, Fantasy, Shoujo"
1544,Romeo x Juliet,Book,"Drama, Fantasy, Historical, Romance"
128,Blood+,Original,"Action, Military, Mystery, Horror, Supernatural, Drama, Vampire"
11858,Cardcaptor Sakura:Clear Card,Manga,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo"
2812,Junjo Romantica,Manga,"Comedy, Drama, Romance, Shounen Ai"
16445,Ore wo Suki nano wa Omae dake ka yo: Oretachi no Game Set,Light novel,"Comedy, Romance, School"
54,Gakuen Alice,Manga,"Comedy, School, Shoujo, Super Power"
7979,Nisekoi:False Love,Manga,"Harem, Comedy, Romance, School, Shounen"
9138,Blood Blockade Battlefront,Manga,"Action, Comedy, Super Power, Supernatural, Vampire, Fantasy, Shounen"
5078,Nura:Rise of the Yokai Clan,Manga,"Action, Demons, Shounen, Supernatural"
9845,Yamada-kun and the Seven Witches,Manga,"Harem, Mystery, Comedy, Supernatural, Romance, School, Shounen"
9724,Is It Wrong to Try to Pick Up Girls in a Dungeon?,Light novel,"Action, Adventure, Comedy, Romance, Fantasy"
347,Cardcaptor Sakura The Movie,Manga,"Comedy, Drama, Magic, Fantasy, Shoujo"
13377,Recovery of an MMO Junkie,Web manga,"Game, Comedy, Romance"
3732,Code Geass: Hangyaku no Lelouch Special Edition - Black Rebellion,Original,"Action, Military, Super Power, Mecha, School"
5475,Seitokai Yakuindomo,4-koma manga,"Comedy, School, Shounen, Slice of Life"
5225,The Legend of the Legendary Heroes,Light novel,"Action, Adventure, Magic, Fantasy, Shounen"
13994,Hinomaru Sumo,Manga,"Martial Arts, Shounen, Sports"
5975,Blue Exorcist,Manga,"Action, Demons, Fantasy, Shounen, Supernatural"
11398,Haven't You Heard? I'm Sakamoto,Manga,"Slice of Life, Comedy, School, Seinen"
15130,"BOFURI:I Don't Want to Get Hurt, so I'll Max Out My Defense.",Light novel,"Action, Game, Sci-Fi, Adventure, Comedy, Fantasy"
15917,Interspecies Reviewers,Manga,"Comedy, Ecchi, Fantasy"
795,Ah! My Goddess:Flights of Fancy,Manga,"Comedy, Magic, Romance, Seinen, Supernatural"
1846,Hayate the Combat Butler,Manga,"Action, Harem, Comedy, Parody, Romance, Shounen"
280,Ah! My Goddess:The Movie,Original,"Comedy, Magic, Romance, Seinen, Supernatural"
7937,"Love, Chunibyo & Other Delusions!:Heart Throb",Light novel,"Comedy, Drama, Romance, School, Slice of Life"
3060,Special A (S.A),Manga,"Comedy, Romance, School, Shoujo"
7246,"Problem children are coming from another world, aren't they?",Light novel,"Action, Comedy, Fantasy, Supernatural"
424,InuYasha the Movie:Affections Touching Across Time,Manga,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Drama, Magic, Romance, Fantasy, Shounen"
7110,My Little Monster,Manga,"Slice of Life, Comedy, Romance, School, Shoujo"
226,Zatch Bell!,Manga,"Adventure, Comedy, Demons, Supernatural, Magic, Shounen"
154,Tsubasa RESERVoir CHRoNiCLE,Manga,"Action, Adventure, Fantasy, Magic, Romance, Supernatural, Shounen"
421,InuYasha the Movie 4:Fire on the Mystic Island,Manga,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Drama, Magic, Romance, Fantasy, Shounen"
7266,High School DxD New,Light novel,"Action, Harem, Comedy, Demons, Romance, Ecchi, School"
10459,Chivalry of a Failed Knight,Light novel,"Action, Romance, Ecchi, Fantasy, School"
8625,Akame ga Kill!,Manga,"Action, Adventure, Drama, Fantasy, Shounen"
7368,Tokyo Ravens,Light novel,"Action, Comedy, Supernatural, Magic, Romance, School"
774,Air Gear,Manga,"Action, Comedy, Ecchi, Shounen, Sports"
8330,The Irregular at Magic High School,Light novel,"Action, Sci-Fi, Supernatural, Magic, Romance, School"
15684,Her Blue Sky,Original,Drama
8609,Amagi Brilliant Park,Light novel,"Comedy, Drama, Fantasy, Magic"
6520,The Familiar of Zero F,Light novel,"Adventure, Magic, Romance, Ecchi, Fantasy"
6376,Guilty Crown,Original,"Action, Sci-Fi, Super Power, Drama, Romance, Mecha"
15002,Ride Your Wave,Original,"Drama, Romance, Supernatural"
331,Shakugan no Shana:Season I,Light novel,"Action, Drama, Fantasy, Romance, School, Supernatural"
7561,"Love, Chunibyo & Other Delusions!:Sparkling... Slapstick Noel",Light novel,"Comedy, Drama, Romance, School, Slice of Life"
246,Hellsing,Manga,"Action, Horror, Supernatural, Vampire, Seinen"
13841,Kakuriyo:Bed and Breakfast for Spirits,Novel,"Demons, Drama, Romance, Supernatural"
11010,Ajin:Demi-Human,Manga,"Action, Mystery, Horror, Supernatural, Seinen"
9501,Seraph of the End:Vampire Reign,Manga,"Action, Military, Supernatural, Drama, Vampire, Shounen"
6535,Waiting in the Summer,Original,"Comedy, Drama, Romance, Sci-Fi, Slice of Life"
14984,My Next Life as a Villainess:All Routes Lead to Doom!,Light novel,"Comedy, Drama, Romance, Fantasy, School"
12037,Gabriel DropOut,Manga,"Comedy, Demons, Supernatural, School, Shounen"
7120,"Say ""I Love You"".",Manga,"Drama, Romance, School, Shoujo"
16394,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen OVA,Light novel,"Fantasy, Slice of Life"
81,Aishiteruze Baby★★,Manga,"Comedy, Drama, Romance, Shoujo"
14201,Goblin Slayer,Light novel,"Action, Adventure, Fantasy"
6465,Inu X Boku Secret Service,Manga,"Comedy, Supernatural, Romance, Shounen"
77,My-Hime,Original,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai"
6658,The Ambition of Oda Nobuna,Light novel,"Comedy, Historical, Romance"
7143,Medaka Box Abnormal,Manga,"Action, Comedy, Ecchi, Martial Arts, School, Shounen, Super Power"
14925,Isekai Quartet,Original,"Comedy, Fantasy, Parody"
3758,A Certain Magical Index,Light novel,"Action, Magic, Sci-Fi, Super Power"
5544,Is This a Zombie?,Light novel,"Action, Comedy, Ecchi, Harem, Magic, Supernatural"
11926,Blue Exorcist:Kyoto Saga,Manga,"Action, Demons, Supernatural, Fantasy, Shounen"
2670,Shugo Chara!,Manga,"Comedy, Magic, School, Shoujo"
4053,Shugo Chara!! Doki,Manga,"Comedy, Magic, School, Shoujo"
56,Magical Girl Lyrical Nanoha,Original,"Action, Comedy, Drama, Magic, Super Power"
4822,Fate/stay night:Unlimited Blade Works,Visual novel,"Action, Fantasy, Magic, Supernatural"
7199,Haganai:I don't have many friends NEXT,Light novel,"Harem, Slice of Life, Comedy, Romance, School"
6575,High School DxD,Light novel,"Comedy, Demons, Ecchi, Harem, Romance, School"
16537,A Whisker Away,Original,"Comedy, Supernatural, Drama, Romance, School"
3945,Hetalia Axis Powers,Web manga,"Comedy, Historical, Parody"
2918,My-Otome 0:S.ifr,Original,Sci-Fi
14934,ORESUKI Are you the only one who loves me?,Light novel,"Harem, Comedy, Romance, School"
9639,Nisekoi:False Love,Manga,"Comedy, Harem, Romance, School, Shounen"
15900,Isekai Quartet 2,Original,"Comedy, Parody, Fantasy"
12493,Black Clover,Manga,"Action, Comedy, Magic, Fantasy, Shounen"
1180,Afro Samurai,Original,"Action, Adventure, Samurai"
5476,Amagami SS,Visual novel,"Slice of Life, Comedy, Romance, School"
15102,The Helpful Fox Senko-san,Web manga,"Slice of Life, Comedy, Supernatural, Romance"
4062,Sekirei:Pure Engagement,Manga,"Action, Comedy, Ecchi, Harem, Super Power"
12511,BLEND-S,4-koma manga,"Slice of Life, Comedy"
4394,Heaven's Lost Property,Manga,"Sci-Fi, Harem, Comedy, Supernatural, Romance, Ecchi, Shounen"
31,Ah! My Goddess,Manga,"Comedy, Supernatural, Magic, Romance, Seinen"
9791,Rokka:Braves of the Six Flowers,Light novel,"Action, Adventure, Fantasy, Magic, Mystery"
1394,Buso Renkin,Manga,"Action, Fantasy, Supernatural, Comedy, School, Shounen"
7367,Sunday Without God,Light novel,"Adventure, Mystery, Fantasy"
16195,The Misfit of Demon King Academy,Light novel,"Action, Demons, Magic, Fantasy, School"
655,Rec,Manga,"Comedy, Drama, Romance, Seinen"
332,Fate/stay night,Visual novel,"Action, Supernatural, Magic, Romance, Fantasy"
6496,"Listen to Me, Girls. I Am Your Father!",Light novel,"Comedy, Romance, Slice of Life"
10157,SHIMONETA:A Boring World Where the Concept of Dirty Jokes Doesn't Exist,Light novel,"Comedy, Ecchi, School"
2673,KimiKiss:Pure Rouge,Visual novel,"Drama, Romance, School"
1090,The Familiar of Zero,Light novel,"Action, Adventure, Harem, Comedy, Magic, Romance, Ecchi, Fantasy, School"
6577,Blood Lad,Manga,"Action, Comedy, Demons, Seinen, Supernatural, Vampire"
6386,The World God Only Knows:Four Girls and an Idol,Manga,"Comedy, Music, Shounen, Supernatural"
6615,Accel World,Light novel,"Action, Game, Sci-Fi, Romance, School"
415,Onegai☆Teacher: Himitsu na Futari,Original,"Comedy, Ecchi, Romance, Sci-Fi"
3930,Corpse Princess:Kuro,Manga,"Action, Horror, Supernatural, Shounen"
8401,Love Stage!!,Manga,"Comedy, Romance, Shounen Ai"
80,Air,Visual novel,"Slice of Life, Supernatural, Drama, Romance"
78,My-Otome,Original,"Comedy, Drama, Fantasy, Magic"
772,Strawberry Panic,Other,"Drama, Romance, School, Shoujo Ai"
7184,Maoyu ~ Archenemy & Hero,Light novel,"Adventure, Demons, Romance, Fantasy"
6071,Mayo Chiki!,Light novel,"Harem, Comedy, Romance, Ecchi, School"
9617,God Eater,Game,"Action, Fantasy, Military, Sci-Fi"
8066,Outbreak Company,Light novel,"Harem, Comedy, Parody, Fantasy"
15762,One Punch Man 2nd Season Specials,Web manga,"Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural"
8316,Hamatora The Animation,Original,"Mystery, Comedy, Super Power, Drama"
12346,QUANZHIFASHI,Novel,"Action, Fantasy, Magic, School"
8341,Chaika -The Coffin Princess-,Light novel,"Action, Adventure, Comedy, Romance, Fantasy"
306,Midori Days,Manga,"Comedy, Drama, Romance, Ecchi, Shounen"
4105,Canaan,Visual novel,"Action, Sci-Fi, Super Power, Supernatural, Seinen"
6956,High School DxD Specials,Light novel,"Ecchi, Comedy, Harem, Romance, Demons, School"
6343,Haganai:I don't have many friends,Light novel,"Ecchi, Slice of Life, Comedy, Harem, Romance, School"
1464,My-Otome Zwei,Original,"Action, Magic"
8039,My Mental Choices Are Completely Interfering With My School Romantic Comedy,Light novel,"Harem, Comedy, Romance, School"
7301,"Love, Chunibyo & Other Delusions!:Chuni-Shorts",Light novel,"Comedy, School"
9830,Kabaneri of the Iron Fortress,Original,"Action, Horror, Supernatural, Drama, Fantasy"
6812,Uta no Prince Sama 2,Visual novel,"Comedy, Harem, Music, Romance, School, Shoujo"
6614,Sword Art Online,Light novel,"Action, Game, Adventure, Romance, Fantasy"
3727,Corpse Princess:Aka,Manga,"Action, Horror, Supernatural, Shounen"
8022,Date A Live II,Light novel,"Comedy, Harem, Mecha, Romance, School, Sci-Fi"
14199,Is It Wrong to Try to Pick Up Girls in a Dungeon? II,Light novel,"Action, Adventure, Comedy, Romance, Fantasy"
2181,Cybersix,Other,"Action, Adventure, Romance, Sci-Fi"
7240,"The ""Hentai"" Prince and the Stony Cat.",Light novel,"Harem, Comedy, Supernatural, Romance, School"
9150,Mangaka-san to Assistant-san to The Animation Specials,4-koma manga,"Comedy, Ecchi, Harem, Seinen, Slice of Life"
3805,Vampire Knight:Guilty,Manga,"Drama, Mystery, Romance, Shoujo, Supernatural, Vampire"
366,Suzuka,Manga,"Sports, Drama, Romance, Shounen"
4798,Deadman Wonderland,Manga,"Action, Horror, Sci-Fi, Shounen, Supernatural"
7286,Date A Live,Light novel,"Sci-Fi, Harem, Comedy, Romance, Mecha, School"
9110,Chaika -The Coffin Princess- Avenging Battle,Light novel,"Action, Adventure, Comedy, Romance, Fantasy"
7175,Ixion Saga DT,Game,"Action, Comedy, Fantasy"
2672,Myself; Yourself,Visual novel,"Drama, Romance, School"
4620,Nyan Koi!,Manga,"Harem, Comedy, Romance"
11634,Akashic Records of Bastard Magic Instructor,Light novel,"Action, Magic, Fantasy, School"
6479,Hellsing: The Dawn,Manga,"Action, Horror, Seinen, Supernatural, Vampire"
388,My Neighbors the Yamadas,4-koma manga,"Slice of Life, Comedy"
5747,Ground Control to Psychoelectric Girl,Light novel,"Sci-Fi, Slice of Life, Comedy"
8545,The Comic Artist and His Assistants,Manga,"Harem, Slice of Life, Comedy, Ecchi, Seinen"
2896,Kimi ga Aruji de Shitsuji ga Ore de,Visual novel,"Comedy, Ecchi, Harem, Parody, Romance"
172,Please Teacher!,Original,"Sci-Fi, Comedy, Drama, Romance, School"
8986,Wolf Girl & Black Prince,Manga,"Comedy, Romance, School, Shoujo"
8331,Black Bullet,Light novel,"Action, Sci-Fi, Mystery, Seinen"
7885,Blood Lad OVA,Manga,"Action, Comedy, Demons, Seinen, Supernatural, Vampire"
9295,Trinity Seven,Manga,"Action, Harem, Comedy, Supernatural, Magic, Romance, Ecchi, Fantasy, School, Shounen"
440,Karin,Manga,"Comedy, Romance, Vampire, School, Shounen"
9144,Lord Marksman and Vanadis,Light novel,"Adventure, Ecchi, Fantasy, Harem, Romance"
5221,High School of the Dead,Manga,"Action, Horror, Supernatural, Ecchi, Shounen"
7619,Unbreakable Machine-Doll,Light novel,"Action, Ecchi, Fantasy, School"
16464,Kuma Kuma Kuma Bear,Light novel,"Adventure, Comedy, Fantasy"
7373,Karneval,Manga,"Action, Fantasy, Josei, Mystery, Sci-Fi"
166,Love Hina,Manga,"Comedy, Ecchi, Harem, Romance, Shounen, Slice of Life"
7848,Strike the Blood,Light novel,"Action, Harem, Supernatural, Ecchi, Vampire, Fantasy, School"
12246,Knight's & Magic,Light novel,"Action, Fantasy, Mecha, School"
3472,Sekirei,Manga,"Action, Comedy, Ecchi, Harem, Super Power"
596,Koi Kaze,Manga,"Drama, Psychological, Romance, Seinen, Slice of Life"
13758,Date A Live III,Light novel,"Sci-Fi, Harem, Comedy, Romance, Mecha, School"
11045,Persona 5 the Animation -THE DAY BREAKERS-,Game,"Action, Supernatural, Fantasy"
5370,MM!,Light novel,"Harem, Comedy, Ecchi, School"
6197,Mashiroiro Symphony:The Color of Lovers,Visual novel,"Harem, Drama, Romance, School"
11205,Please tell me! Galko-chan,Digital manga,"Slice of Life, Comedy, School"
6158,Uta no Prince Sama,Visual novel,"Harem, Music, Comedy, Romance, School, Shoujo"
5524,OreImo,Light novel,"Slice of Life, Comedy"
11606,"Kiss Him, Not Me!",Manga,"Harem, Comedy, Romance, School, Shoujo"
7080,Haganai:A Round-Robin Story's Ending Is Way Extreme,Light novel,"Harem, Slice of Life, Comedy, Romance, School"
6623,Dog Days',Original,"Action, Adventure, Magic, Fantasy"
58,Shuffle!,Visual novel,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen"
14265,Strike the Blood III,Light novel,"Action, Harem, Supernatural, Ecchi, Vampire, Fantasy"
